Indicativ,NumeJudet,Regiune,MacroRegiune,Cercetare,Execb_venit,ConexTelFixa,Execb_subv,Export,Import,Innoptari,Lemn,PIB,PA_Veg,PA_Anim,Serv_Agric,Sup_Loc,SalNet,RataSom
ab,Alba,Centru,RO1,14.41,2659.6,170,397.97,6448.01,3706.08,919.05,1.16,30894.19,2555.13,1645.27,34.34,19.37,1981,4
ar,Arad,Vest,RO4,49.9,2778.13,221.36,412.78,7257.13,6550.52,773.39,1.39,32300.62,3998.9,1162.54,90.73,21.65,2104,2
ag,Arges,Sud,RO3,488.45,2564.15,167.97,338.73,9304.23,7159.14,574.15,1,29509.84,1527.1,1004.78,1.38,20.41,2339,4.4
bc,Bacau,Nord-Est,RO2,4.21,1956.16,152.34,276.32,740.21,1050.25,487.07,1.36,18725.7,1076.11,1017.81,1.81,16.88,2032,6.3
bh,Bihor,Nord-Vest,RO1,5.35,2858.39,228.74,409.38,2860.14,2956.08,2090.89,0.79,26181.69,2039.13,1267.31,20.23,19.03,1880,2.6
bn,Bistrita-Nasaud,Nord-Vest,RO1,27.01,2797.96,158.43,645.54,2524.23,2004.88,672.72,1.76,22711.77,1841.08,1691.91,0.49,18.59,1872,3.4
bt,Botosani,Nord-Est,RO2,3.92,2073.38,101.66,460.78,703.85,631.27,201.48,0.37,15146.67,2772.05,1626.72,11.76,16.53,1899,4.3
br,Braila,Sud-Est,RO2,8.91,2550.93,191.93,674.84,9103.67,8447.53,666.6,0.21,21640.95,4566.86,1558.75,549.68,15.5,1827,6
bv,Brasov,Centru,RO1,63.62,2613.58,228.08,188.48,287.02,327.8,4008.92,0.93,37130.56,951.92,1295.81,11.29,20.43,2337,3.2
bz,Buzau,Sud-Est,RO2,10.54,2306.59,132.98,503.11,1343.1,942,412.48,0.67,21416.31,2985.11,1559.84,33.15,19.71,1890,8.5
cl,Calarasi,Sud,RO3,32.51,2730.86,106.74,836.61,998.57,719.88,163.13,0.43,20625.52,5353.18,2077.27,226.23,16.25,1935,6.3
cs,Caras-Severin,Vest,RO4,1.66,2450.83,178.5,493.15,1117.9,875.77,2116.75,2.35,23255.47,1679,1385.47,1.14,20.31,1978,2.8
cj,Cluj,Nord-Vest,RO1,295.47,3066.56,235.04,350.2,2105.61,3512.86,1680.94,0.33,43156.92,1258.99,775.28,4.5,22.81,2707,2.2
ct,Constanta,Sud-Est,RO2,33.36,2777.65,220.98,265.64,2592.31,3489.47,6140.05,0.09,42563.03,1985.55,655.88,20.68,19.86,2095,3.4
cv,Covasna,Centru,RO1,13.24,2622.22,147.26,386.71,1367.8,1319.43,2313.97,2.35,22309.18,2926.78,1150.15,4.86,18.41,1810,5
db,Dambovita,Sud,RO3,35.5,2101.02,110.82,338.13,1282.05,1219.94,501.02,0.57,23883.92,3194.99,931.45,1.35,19.08,2004,6
dj,Dolj,Sud-Vest,RO4,39.43,2189.8,185.78,243.99,1756.27,1748.96,318.32,0.24,24585.93,2717.94,834.22,55.01,19.92,2088,9
gl,Galati,Sud-Est,RO2,28.41,2046.8,169.08,294.5,1590.45,1955.73,258.16,0.1,19953.66,3020.17,731.09,28.45,16.97,2002,9.3
