Code,County,Research,ExecInc,Tel,ExecSub,Export,Inport,GDP,AgrigServ,Habitable,Wage,Unemploy
AB,Alba,14.41,2659.6,170,397.97,6448.01,3706.08,30894.19,34.34,19.37,1981,4
AR,Arad,49.9,2778.13,221.36,412.78,7257.13,6550.52,32300.62,90.73,21.65,2104,2
AG,Arges,488.45,2564.15,167.97,338.73,9304.23,7159.14,29509.84,1.38,20.41,2339,4.4
BC,Bacau,4.21,1956.16,152.34,276.32,740.21,1050.25,18725.7,1.81,16.88,2032,6.3
BH,Bihor,5.35,2858.39,228.74,409.38,2860.14,2956.08,26181.69,20.23,19.03,1880,2.6
BN,Bistrita-Nasaud,27.01,2797.96,158.43,645.54,2524.23,2004.88,22711.77,0.49,18.59,1872,3.4
BT,Botosani,3.92,2073.38,101.66,460.78,703.85,631.27,15146.67,11.76,16.53,1899,4.3
BR,Braila,8.91,2550.93,191.93,674.84,9103.67,8447.53,21640.95,549.68,15.5,1827,6
BV,Brasov,63.62,2613.58,228.08,188.48,287.02,327.8,37130.56,11.29,20.43,2337,3.2
BZ,Buzau,10.54,2306.59,132.98,503.11,1343.1,942,21416.31,33.15,19.71,1890,8.5
CL,Calarasi,32.51,2730.86,106.74,836.61,998.57,719.88,20625.52,226.23,16.25,1935,6.3
CS,Caras-Severin,1.66,2450.83,178.5,493.15,1117.9,875.77,23255.47,1.14,20.31,1978,2.8
CJ,Cluj,295.47,3066.56,235.04,350.2,2105.61,3512.86,43156.92,4.5,22.81,2707,2.2
CT,Constanta,33.36,2777.65,220.98,265.64,2592.31,3489.47,42563.03,20.68,19.86,2095,3.4
CV,Covasna,13.24,2622.22,147.26,386.71,1367.8,1319.43,22309.18,4.86,18.41,1810,5
DB,Dambovita,35.5,2101.02,110.82,338.13,1282.05,1219.94,23883.92,1.35,19.08,2004,6
DJ,Dolj,39.43,2189.8,185.78,243.99,1756.27,1748.96,24585.93,55.01,19.92,2088,9
GL,Galati,28.41,2046.8,169.08,294.5,1590.45,1955.73,19953.66,28.45,16.97,2002,9.3
GR,Giurgiu,1.7,2606.07,96.05,850.4,273.44,598.34,23973.21,18.29,19.32,1955,5
GJ,Gorj,6.44,2599.69,127.45,596.57,146.34,127.81,30867.64,0.59,18.92,2108,7.1
HR,Harghita,2.19,2787.39,130.92,493.73,923.2,1270.98,22071.13,1.08,18.61,1776,5.1
HD,Hunedoara,36.37,2504.98,180.34,466.16,1803.42,1366.26,23134.77,0.83,18.29,1925,5.2
IL,Ialomita,0,1997.69,112.61,324.22,649.49,783.72,22505.61,154.87,17.61,1836,7.2
IS,Iasi,128.62,2203.23,152,367.3,1000.77,968.03,23620.17,25.76,15.88,2278,4.5
IF,Ilfov,2382.31,3983.95,,282.41,6077.23,17111.07,48934.43,90.71,30.81,2602,0.9
MM,Maramures,0.74,2305.6,152.03,344.55,2537.91,1870.81,22980.37,0.17,18.81,1900,3.5
MH,Mehedinti,,2859.53,162.37,796.85,470.44,365.74,17849.17,8.86,18.88,1978,9.6
B,Municipiul Bucuresti,586.49,4020.03,371.93,151.85,5070.87,10737.87,84777.02,94.53,19.24,3304,1.4
MS,Mures,24.49,2425.25,195.02,237.28,1543.4,2155.19,26150.83,4.24,18.24,2133,4.3
NT,Neamt,32.3,2203.78,151.56,513.49,753.09,713.16,16838.2,29.83,18.16,1867,5.4
OT,Olt,3.04,2455.07,133.46,573.35,3179.34,1778.5,19196.91,24.27,19.21,2111,7.9
PH,Prahova,13.47,2535.6,203.61,391.28,2810.92,4121.13,34700.41,5.01,19.79,2196,4
SJ,Salaj,4.53,2695.17,106.58,443.68,2155.21,1279.55,24574.29,6.69,19.04,1919,5.2
SM,Satu Mare,5.22,2639.03,184.68,520.03,2504.12,2555.76,22023.13,7.16,19.98,1967,3.6
SB,Sibiu,449.09,2848.36,256.4,354.13,6366.26,5042.77,33428.13,13.35,19.93,2348,3.2
SV,Suceava,23.77,2263.8,108.48,393.23,702.97,845.13,17145.64,16.45,18.2,1879,5.1
TR,Teleorman,0.16,2220.85,100.85,530.19,357.19,492.91,18086.07,63.18,18.09,1831,11
TM,Timis,390,3227.89,252.48,574.37,8458.89,7159.67,45211.7,43.03,22.62,2643,1.1
TL,Tulcea,62.05,2687.89,119.89,375.22,970.16,1091.04,22579.71,60.88,17.89,1928,4.8
VL,Valcea,121.98,2990,146.04,868.06,430.03,347.47,24195.47,5.83,19.33,1885,4.7
VS,Vaslui,22.59,2078.24,117.61,355.52,914.97,683.83,13084.49,11.41,14.68,1942,11.4
VN,Vrancea,0.48,2603.77,140.45,806.46,665.72,705.61,18632.18,13.18,19.77,1838,5.4
