Judet,Regiune,NrSal,RS,SalN,SupL,Apa,Gaz,Pensia,Paturi,RataAb,AbsUniv,Volume,Cinema,PIB,Cerc,ProdVeg,ProdAn,Telefonie,Internet,Cazare,ExecB,RataC
bh,nv,28141,3,1351,15.49,38.02,27.83,571,720,1.384076271,944,305,133,19360,15.9,3084,1281,270,20,4268,2092,149
bn,nv,19256,2.7,1442,15.21,38.3,130.98,503,497,2.174434956,122,291,186,15709,13.1,2093,1327,181,6,2582,1752,160
cj,nv,28758,2.9,1772,15.7,75.59,274.59,638,1020,1.527908368,2626,259,588,26042,99.8,1558,992,317,5,3347,2166,214
mm,nv,18366,3.7,1359,14.33,38.72,143.86,589,643,1.906066185,433,271,139,13701,7.4,1960,977,193,5,2842,1648,224
sm,nv,21065,3,1375,16.05,29.9,161.14,526,514,1.862345698,78,310,0,14613,3.6,2433,1070,168,6,1179,1853,226
sj,nv,19794,5.5,1421,16.1,33.04,116.39,532,626,1.391941392,21,350,0,16015,0,3010,1091,149,8,859,2156,150
ab,c,24604,7.1,1506,15.04,76.24,259.89,583,674,1.441519783,536,357,92,21396,15.8,2531,1766,216,7,1574,1957,184
bv,c,28325,4.3,1639,15.25,67.59,287.2,714,602,2.733474365,2084,184,71,23733,64.5,1273,834,253,9,8226,2133,142
cv,c,22872,7.2,1290,15.04,39.51,144.11,587,903,2.160509818,208,338,0,15878,4.3,3246,1273,140,13,3898,1823,132
hr,c,20610,6.5,1322,15.88,39.24,94.18,583,680,1.565173987,161,356,0,16144,2.2,2145,1004,150,5,2826,1947,232
ms,c,22537,4.7,1508,15.07,35.31,271.77,569,731,1.823782119,569,343,136,16242,20.3,2570,993,217,9,2892,2072,185
sb,c,29036,3.1,1659,16.51,93.76,313.37,622,674,3.533356259,1973,303,56,21308,29.9,1484,1088,328,10,3626,2152,178
bc,ne,16989,5.3,1685,13.62,29.48,107.22,586,473,2.849776503,359,216,154,13711,15.2,1475,907,167,6,1246,1668,212
