,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
NrSal,0.9618070018010892,0.0636639670000318,-0.06897563383519523,0.1972073434102827,-0.002151921374168874,-0.009960903585381273,-0.058758761292453165,-0.022979942053365125,0.09894810829054397,0.09616272076648695,0.0852918297266613,0.0029180958585397878,-0.016609072612698315,0.0596698902644864,0.001962746702555596,-0.07374928098224641,0.03901566569118082,-0.044473770508376885,0.010793454522190877,0.01693634490688248,0.08959737002462063
RS,-0.5109437092693234,-0.029665225004947286,-0.3659150969313111,-0.44188950139242894,-0.350084490039011,-0.06615275100396074,0.19476495770781152,0.34862147853440234,0.3022618116565469,0.14958067238270376,0.10497940850718568,0.02482673441773367,0.06866541629274289,0.015081781121467491,-0.07626822213053203,0.09918888919981081,0.021746188916319166,0.014325235170926055,0.013051462367515467,0.002906833274057244,0.007259084489228922
SalN,0.7885994728991313,-0.4572259717813301,0.131054601698223,-0.16569421317027375,-0.05745172520376939,-0.12799705361856611,0.07631526316408864,-0.004843887901981421,0.07087791235188885,-0.10433539909458113,0.22143112686786548,0.023613003988519583,0.07007350097256375,-0.09589703624819389,0.17528243866473162,0.03230416019917725,-0.04658968829177307,-0.0869081111703791,0.02444512151908303,-0.03935624697535775,-0.006420120143063239
SupL,0.4536113240544653,-0.3207907521377849,-0.05389240644429967,0.7056904449851052,-0.013072972850436564,0.08338480381485305,-0.17157574756128383,0.15906178411618127,0.3014865024874347,-0.004200167820004329,-0.0638281982621685,-0.09560512436839552,-0.13248696893004341,-0.1531052292540767,-0.03228413598464712,0.060886613236799406,0.042685758929493306,0.013512239958837371,-0.02220589660239996,-0.022695813758889218,-0.008464683430046435
Apa,0.8063555977381014,0.3243791335526579,0.0029756947008836325,-0.12645617257953334,-0.18596083222593032,0.006257585847455824,0.257061517890504,-0.03022682470055937,0.09556017172734552,-0.24824629871488788,0.0926250708995547,-0.1584329625628966,-0.0773163166743578,0.07458894808720078,-0.1132142995480618,-0.11067920819385775,0.08132237782997412,-0.051664890520518175,-0.012931998225266444,-0.007733918880393598,-0.028061937720653404
Gaz,0.591201109316529,-0.044335316006960085,-0.3018383947805072,0.26936765489618786,0.07489545693583746,0.5587361797720545,0.2972140708359828,-0.08424931006468074,-0.08863341432594082,0.07117005621489401,-0.02473551378150397,-0.07962321865957064,0.26880667657487023,-0.04373580213169145,-0.03648680443612961,0.02253051466851532,-0.003940758702093791,-0.008041427538193596,-0.005205912294256219,-0.00399976041509714,-0.0024713574470616377
Pensia,0.8131960238843414,0.17694931805378142,-0.23154895604734577,-0.25972809308377837,0.01564852148686681,0.21159050668127283,-0.0021860809849953457,0.20457555350116496,-0.06709745734927616,0.19860338829141275,0.10995602406330736,-0.09597012767668378,-0.11447735608923679,-0.01057267475931235,0.15144597326198747,-0.11329782451401572,-0.018592496890830795,0.0884923412578004,-0.03462627011142128,-0.01069500453339365,-0.011019191718881341
Paturi,0.7131771168956352,0.27870896806289824,-0.4085642392255849,-0.10595347714734665,-0.22113174887424747,-0.038465547559791494,0.07052209414786502,-0.18370764647569948,0.06551778990120492,0.16124919571008792,-0.2367406020573489,0.23233459942434195,-0.07821920394979028,-0.11927000465768994,-0.02186078044987927,-0.0720835177497838,-0.03198717881929073,-0.05232198010895486,0.01843308322038604,-0.01261262532933717,-0.015552181234906197
RataAb,-0.0440806418234148,0.3461345026057577,0.5853382936440135,0.27378618066826516,0.24114295938009356,-0.022595764357897806,0.5379710717592362,0.32251969539810005,0.04600210899182073,0.011263365656834477,-0.08773133402188191,0.12924354975005609,-0.030895810716297108,-0.021300186286136915,0.06577254652182307,-0.01185505314066434,0.014583154162555931,-0.0027781622560997393,0.01022559047845137,0.01084729323003251,0.0021819902432782634
AbsUniv,0.8832173935529029,0.17195340997623534,-0.019178260230137932,-0.20806200004274836,0.03170178576765179,-0.21507802489252692,0.19031763120593514,-0.06748649416896971,-0.08123297772173275,-0.016274196067173147,-0.0690466910399569,-0.13505876545947432,-0.07610522524666104,-0.06574081438770125,-0.026787899223862748,0.15043935730166924,-0.10688234122280027,-0.016039500419386232,-0.0827966566010416,0.030131949284259243,0.016528174045339804
