,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
bh,0.26369074349731975,1.4737059067673852,-0.6694916041391766,1.4818975742376392,-0.7630016570894091,-1.96220310243934,-2.231855178406256,-0.3320939747213183,-1.7368433274069408,1.205646591582717,0.35240232069664745,0.43535462471327957,-0.7036378085927256,1.4776079257364707,-0.0487985442918541,0.779355531235584,0.9647973366249645,-0.6622117524199064,-1.0312740932285647,-0.997042378420206,1.2167084287952052
bn,-0.3486053583860878,0.10619800941609434,0.3600437760271654,0.8782403918348037,0.1002753221622499,0.4355815245578774,-0.19682921637704856,-0.8098755732772024,-1.0945233866758273,-1.5374105890912637,-0.2010335423450714,0.5012544086755539,0.02286512130567742,-0.2436864624805531,-0.3279903503062402,0.732070649502846,1.680415004022258,0.6459631878931168,1.0618130326972124,0.4934123563351989,1.4285991689845108
cj,1.5697301593939044,0.5085143164736491,-0.6523465951380882,-0.5719199171594684,-0.022551438958269637,1.0719879366884109,0.7409031261654165,-2.766264959287294,0.8240038911103242,0.16074430092982223,-1.3528166016858199,0.08145474723761295,-0.47812052235113867,-1.3308651951932422,0.0546144849043559,1.333326981961888,-0.21902671230961102,0.2571930192664735,-1.0800440550846784,-1.1446299023535373,-1.5783970715919395
mm,-0.2035615771101776,0.5491265590169544,-0.34537481678428944,-0.41347645256910215,0.8766017851200388,1.0606790050137882,-0.5474619152188632,-0.21396846403648023,-0.7552546302091617,-0.33544326344505077,-0.9465771150217321,0.16116546489026962,-0.4471803122664653,-0.6133484595231714,-0.4130392337196084,-0.884458752064977,-0.06340395529160602,0.708224946144657,0.29241493709077504,-0.1501236493624339,-0.7200241972724878
sm,-0.3899250586899993,0.11557114058311833,-0.5425967457556197,0.9879231105277858,1.2181369081463982,0.5899428824191363,-0.815932118789415,-0.41486515901778276,0.08984764738689459,-1.0917709599829302,-0.7123923221362546,-0.3504610486065632,0.57359791846898,-0.27207556002316624,-0.2382804336787216,-0.25093523901471765,0.10630885774553629,0.139468706756604,0.01681049121838113,0.5704803256128292,2.2581379923530305
sj,-0.38844922380697305,0.030745489036235737,-1.0106818754056657,0.9823299593062809,-0.71271241439238,-0.6386037927405684,-0.959799246460168,-0.057707019166000496,0.6977016209675916,-0.5340040265890624,-0.6476133568053598,-0.08519761780937848,1.5361551037489718,-0.08610541623752835,-0.261074815430438,-1.0040224551576944,-0.8343324323181027,1.44504369108043,-0.8174034470466944,0.35161008923910275,-1.048774537771743
ab,0.05300352974577344,0.6826609522590937,-1.7555193678417682,0.6858791316832237,-1.328096048812888,0.9620023985957422,1.5498245252795213,-1.3776258517252753,0.6620896565414552,-0.5877759748357728,2.4589539373640297,-0.6013279301394076,0.5336144537219956,0.8547309892096204,-1.1548711754647152,0.37660453882165457,1.2435059508460173,1.348185562654687,0.773391980791225,0.6062460991980415,-0.40078573432467723
bv,1.3148040850537768,0.4114343960407572,0.331891922365629,0.021122957778473197,-0.17446233457822935,1.9833238154839063,0.9509932498664001,2.1244823820543286,-1.873414135682409,1.2222049652771412,0.20942587574812524,-1.539251944670051,-0.38286879783797045,1.7180779285148775,-0.2463966324926657,0.7497599282045979,-2.0575956853724597,0.28118854389548464,-1.070358010748082,0.4891155287846578,-0.12894393354544523
cv,-0.2164443158779358,1.2660468164823613,-1.1567384025073468,0.8530320010012571,-1.7410170431190906,-0.2893468442495472,0.16913096004190145,0.7284078019884329,-0.22212219627274354,2.3813009800784064,-1.1283082149528223,1.069876730953601,0.36434896577549675,0.08989215270622176,-0.23673347007434342,-1.0435514592188933,0.017808195296072468,-1.5689105872660434,0.9758149708423116,-0.44765074142854494,-1.5224955113462404
hr,-0.3150399065998649,0.5251644277013657,-1.1891975790659293,0.005202509119491384,-0.06314774676347167,0.7122613040406597,-1.0577576060312366,0.5631005721088655,1.5797890726770725,-0.5676886960793703,-0.8176182560537135,0.4024984819734167,-0.976964793247741,0.5300164958692145,-0.34196889895518434,-0.3330440868401038,-1.1370192816186513,1.3151966888576747,0.2481737507690188,1.366690543745513,0.07485138956673598
ms,0.14677161946597064,0.6640681494067909,-0.9802825027581731,0.6531442468945688,-0.11027515860490351,0.8103228055361511,-0.05664774660684716,-0.36071379005574034,-0.05198372633927831,0.15714780087483168,-1.1843478004222137,0.14112340714681312,3.2376082135816486,-0.2785520540669142,0.5157210119362052,0.20606168711252298,-1.3873332338148054,0.022172189293972844,0.3492250933261971,-2.1539110447395755,0.6319290529346311
sb,1.1143957199816932,1.1288647929315734,-0.30499047393526263,1.3174274860668511,0.45562589038591766,1.1550636330270598,2.5676659278616896,1.141323977944363,-0.4935060164940434,-2.0204817853123145,-0.09650001980311915,-0.8665315676380352,0.02134559645646572,-0.458613420921949,-0.0821931487862936,-0.1356163181342092,0.713761026329317,-1.766633201076442,-1.4918239185535174,-0.054451034181119996,1.0298531664236485
bc,-0.2392704199180203,-0.11618500726848606,0.34342646443715225,-0.8991299984614509,1.4016050302409353,0.2883766590547126,0.48032232651355417,1.3876706035583606,-0.8769268869006963,-0.46679688830564126,0.4427569268843153,1.3336053188719568,0.5505059748950958,-0.7423677562134566,1.8167822964830398,0.5741489046667491,1.58739425729344,-0.23395202336507423,0.2985950323641677,0.4023611126251177,-0.495895822590199
bt,-1.1567052512758473,0.3496584807648887,0.010949482909800232,-0.08238189701782128,0.45850781089893805,-0.18892154499955835,0.3670989171027339,-1.9373471347483384,-0.7920163012275064,-0.6672829080570868,-0.6670260429175431,1.34760104234711,-0.06947638175084234,0.11366757954022927,1.725798489690344,-0.08816137945866039,-1.3242595197142017,0.18326119970659477,0.6637565559061296,1.0762528457202785,-0.38957413964467597
is,0.3916998969727381,-0.4418915523936702,0.33727406917254305,-2.3163603642804826,-0.30718733600910003,-0.6409553067286509,1.2459496479766545,-1.4863007773119794,-0.7278200308883677,1.0112724841561904,-2.3709953691807004,-0.03876011195587368,-0.17130844211926108,-0.10952226948050398,0.185053517468016,0.07352804239799188,0.8544963210439798,-0.8966122853715895,-1.8992046213648777,0.6170532650417113,0.8928884420980169
nt,-0.5364300563990358,0.18926372012161535,-0.022829198856898093,-0.575207270324698,1.4081990580986514,0.6311661314165385,-1.0463253259967045,0.31470373342961855,-1.3907357674011127,-0.23366607408428097,-0.0012197059788560047,0.7752065221997162,-0.2970272139302171,0.1201090916122576,-0.20220297571816886,0.9359534801145333,1.5105251971013536,0.27829818108379206,0.0827176148017306,-0.8851183097945763,-1.7367527034413341
sv,-0.6627811016233377,-0.5707101519387784,0.11442937562136656,-0.34355144526675957,0.040342943448760084,0.15991692017506873,-0.9672989496426225,-0.5092893347603443,-1.20184008459335,-0.4423572100375941,-0.13629355646029412,-0.2501060743930175,-1.3891244248967913,0.5230511803372958,-0.7631105602596749,1.2843028673309749,-1.6103216706670451,0.3363817715856537,-0.650150192813064,-0.5063525064911373,-0.41035599518448185
vs,-1.1140761386368447,0.04369361994854394,-0.8257085859386339,-1.4455475802329383,0.6974151098063032,-0.04118366278619402,0.5096423544619196,0.96969424094707,1.6685845188497315,0.2018563325302275,-0.27746429534524986,2.1328566684189343,1.406401851907418,1.2556008224214412,-1.3601580968278888,2.1037139982198636,-0.7391892374686403,-0.9120724808464905,0.17449860850772256,0.5113663480361046,1.069639385637572
br,-0.47570196434341155,-0.027006908359756648,-0.0438866566626401,-0.18404539654148272,0.8368864149105703,0.4803695353436603,0.6281832078692257,-1.5869549153014626,-0.2220064813849562,0.9718660522491415,2.1396109386382887,0.15781101876701562,-1.4523925401634539,0.029923769738845047,-1.9712056748290976,-1.9107278475429534,-0.8968887782602808,-0.6997777687968277,0.5293592307416926,-1.7681298284459812,0.6112962359641794
bz,-0.5526549847369924,-0.5145123487293575,0.1890171084406898,-0.1278357306632428,-0.09655845041359329,0.19427284736697073,0.18688430282856994,0.2084110953731839,-0.5299063144416806,0.23564513291335631,-0.12267524756980284,0.5123618887926246,0.4284052201048404,-1.2811223651606205,-1.9212424025002046,-0.8380129200459185,0.3946387280683874,-0.4039182060968658,0.9740257924055855,0.2643023408494566,1.4502999715635692
ct,0.9534130860542457,1.8084550999830404,4.331813246968439,-1.116032547773483,-1.3232980873966833,1.2947053796801506,-1.4409963549841942,-0.30246779551041314,1.3543066884957875,0.4641734410394974,0.6254168163459849,0.673101074833866,0.4585773293395655,-0.5128003975243721,-0.5114391870684878,0.2971919205734891,-0.13955182119146695,0.01282630490352669,0.44403237752526475,-0.10807290568530101,0.7495513485518452
gl,-0.17124758662923814,-0.45324527547521987,-0.7552346549110486,-1.8644558460965157,1.2308836257593232,-0.1456034638054616,-0.7461071720502965,0.19097551015526926,0.9546674665819077,0.4743060391341826,0.03992159708391895,-1.9004195368412782,-0.3940081571679598,0.556969018447713,0.6839663735138255,-0.9355947133232331,-1.1918160376787195,-0.36830531223431223,0.7164344416598111,-0.13427623996525284,2.0683973454075857
tl,-0.6345220586828478,0.4288383581600007,0.8113969292097609,0.47997569943730944,0.0677173271538799,-0.5092544165324172,0.3504029547920986,-0.01792140893118987,1.8104491547332573,-1.257226041114793,-0.9253858978023953,-0.7444985556983369,-1.271672676966622,1.035550586666678,2.016511865584196,-1.6142246270093357,0.11643567008439606,-0.18096559317554198,0.3884988811745771,-0.8255505524440506,-0.6062736799804299
vn,-0.7303259842597781,-0.2616272997657037,0.754212948598647,0.34926964162747376,1.9766274064777758,-0.3017284729648249,0.19713419546174157,0.7767684660797907,0.6769910190980162,-0.6994869352044436,0.11184780949901268,0.7132795394894939,-1.1512821076629043,-0.05598452474061013,-2.0426836485973037,-0.3134688227716422,-0.27897250335832646,-0.07481998704123762,-0.5693446964220784,-0.6016435882544152,-2.0791448919606816
ag,0.3021398390301411,-1.3591200848200893,-0.31905515814286517,-0.5163660480549412,-0.971601864983067,-0.09458350292124812,-0.08892215955341183,-1.257463705014936,-0.6180104998902297,0.143422709174293,-0.102135871547513,-0.5732359300238364,-1.2511961463107408,1.753528084181327,0.6050484267703785,0.998410493644852,0.998078262750126,1.4028113194678047,0.8499743229314083,0.19413554716796955,0.847706640154165
cl,-1.1674494426884976,0.33577009510601297,1.0598857292071298,0.5621476025762185,0.9037521025064419,-1.1577633215392071,2.3088501413439584,-0.14106830585034533,-0.2709428098314164,1.1580205137523867,0.02581861609440061,0.08022706711919447,0.07216612528021991,1.8194728482309357,1.4018619174084141,-0.5295757241424917,-0.26391691636040115,-0.37045651404340935,1.429355380476161,-0.22393124261402175,-0.16119132746758688
db,-0.5817023618995262,-0.924749936800402,0.1261387976402425,-0.39359965438598504,-0.01788140744989255,0.03194104803272603,-0.4456083917221728,-0.050262883558708366,-0.5934784382417642,0.7512641625509836,0.22857253511513956,-2.198635451013106,1.0527209997761446,-0.7986895277663709,-0.1282146935434749,0.3029865467542664,-0.7250885960279918,-0.1901360450879877,0.3430155476855722,2.740352554671079,-1.2699501579105652
gr,-1.0283463266003514,-1.2069055631470975,1.1988513443118494,0.5890353416253243,-0.39636127468322735,-1.3021783551654058,0.06688136651803706,0.6050379626412145,-1.22007173332055,-0.8790070622456829,0.007980890933299341,-0.060037273905623564,0.4791461545694437,-0.5906045332041158,-0.2299055930091298,-0.4436282555060572,-0.9489207950947691,1.7168412074653943,-2.2185770938410605,-1.0501833428431748,0.22915926100755932
il,-0.9250480476555393,0.7295439153484775,1.498254496926826,0.1334981678919788,0.536222414407139,-0.6920659485580332,0.31928702240497986,-0.8991899009078115,0.5429318282797949,0.9151389013851587,1.4511088722888583,-1.4078361747828427,2.4272985204325166,0.4397816613477697,0.3859243740130611,-0.4544722138753077,1.0125518182972406,1.2377914437259938,-1.5334370105030484,0.044151263511988705,-0.45309520712057894
ph,0.493774285174352,-0.8349011878784397,-0.07433293509610535,-0.4604276688855481,-0.02012218085220567,1.1958272154294454,-1.2742170781017328,0.933787255542894,-1.6216214440545056,0.013268872813769457,0.11323604169977938,-0.9305721879480604,0.8243318969932996,-0.835746173360256,0.9516346501750131,-0.38616611341408474,0.42118991562223307,0.041684538087741585,2.5610135046171267,-1.2570169350528315,-0.6581237263821356
tr,-0.9819933886699431,-0.5193002273466328,0.04604675237961857,-0.22535323570242768,-0.9570764672040247,-1.2069382097014298,0.6250397444544834,0.8748125307392787,-0.2891328795067483,0.6435180774601491,0.20332027669293362,0.9732738687799951,0.022521684634994706,-0.5265130016486881,-0.9203751961457448,0.3242733218416986,0.4874039364864604,0.26078868957098156,-0.10949494483832979,1.684066007860125,-0.23815760761204477
if,1.4046772286707616,-4.2544487344674184,0.9947416177453162,2.7184922177901956,0.20220715555824667,1.1977212563543056,-0.37586090854580456,-0.2318270252323701,1.487264640433078,1.105276620808141,-0.5825220514820985,0.9107467401869195,0.32070878686223264,0.9922268906489957,0.08532502442631211,0.14075674924401113,0.5679524259556449,-0.7818544823710507,-0.24290448539260506,-0.053215886652279366,-0.0064737451122819315
b,4.358243211570011,-0.09575856339094847,-0.06573994924327133,-1.019550330695161,0.8064281861776347,-2.7487835970270553,0.5445707656993931,0.4678487392618033,-0.2467843268770896,-1.0943532755329335,0.6069662257178076,1.2243910802525548,0.7220027311196823,0.7358527121186761,-0.3973963354071836,-0.7117075682939134,-0.7416309791445863,1.3057853983227559,1.0352004143450497,0.10041525291651651,-0.26799079663933717
dj,0.03979308320056064,-0.7930762668145785,-0.22488709380276117,-1.2108381789594205,-1.0978999357068495,-1.0928471976205143,0.658668543766834,0.6043486462696561,0.8180644787456735,0.027760251000518005,-1.2785742842070533,-2.236125479675157,-0.17010717439898612,-0.6084302848535017,-1.606589356713741,-0.11340101974306412,1.8132955431685132,-0.26322920598763533,0.8877214903596315,-0.8832023235300634,-0.6961323290836309
gj,0.0038628048964580745,-1.1561644051644235,-0.8949940693609642,-0.9377071323017883,-1.1523387774557703,0.2548703947704785,-0.060330620172166914,-0.523871714482696,0.3310587057817478,-0.4827560431424796,3.0561399502756434,0.7507013985234487,-0.0730022745401455,-0.8932633766779542,1.8681422897594961,0.8973414021205406,-1.017788895999385,-1.698126799705925,-0.6283759872234445,-0.1337731001660479,-0.6428363009299092
mh,-0.5730356840584787,-0.4220316495023587,-0.4902544064446511,-0.3347333284957086,-1.8164123798816882,-1.1023651132458643,-0.022712699836526757,1.799986171245672,1.1944639993444255,-0.7766646035761993,0.37656462710472133,-0.25978832600531193,-0.7874056290184231,-1.4136552643553715,0.8619259188321772,1.1855291701050752,-0.2415392595378535,0.433973824803675,-0.2706514926108362,-1.9583061793777108,0.8370196690914214
ot,-0.8213771308752299,-0.7291471226622455,0.10522972409019872,-0.01789771314860131,-0.08493680286924804,-0.49124330408006933,0.20242179759469528,-0.2668291040536485,-0.40369763340515763,-0.5172817528582221,0.6137321078084212,0.04997655452433243,0.14509688048144365,-0.7118626897371667,0.04161319734275179,-0.6801028888945105,-0.30706097061583737,-1.2729926048090285,-0.3300015412874936,-0.2541489455251889,0.4122967623537847
vl,-0.015370094798967806,0.5564885263890458,0.6058686809872262,-0.3533860045956204,-1.8940548907472157,0.40319751680868254,-1.2300709812277504,0.1433319310997755,0.009310921487211278,-2.6185596565767777,-0.35293967339151266,-0.18389177505965873,0.010991630908234526,2.2283041088327686,-0.23827868237870564,-0.8078845198524717,0.3290449920789303,-2.159634317319158,-0.23656438675665264,0.9985008882120355,-1.0652543908614038
ar,0.42183478457435664,1.267115677306381,-0.05764057261829668,1.3442090401947322,2.2397124994009854,-1.3209697580642616,-0.9757594741932631,0.09702939372120625,1.5048400821566796,0.6661914841228248,0.3208942255960746,-1.7983133925608978,-0.48960801040619145,-0.5036310013629075,0.18556265991692497,2.68058166783307,0.3132403296154231,-0.9501011361959703,0.3837231259787061,0.2912283728254931,-0.4352899468484531
cs,-0.32180319161010645,0.7348547234832441,0.684414099628383,1.0557197053266532,-1.0586462759678208,0.7452674542783644,1.5629101340413292,1.0395041734518045,0.39529551811787855,0.9472358682438277,-0.4798790232869145,0.6934548368919081,-1.8002554376766395,-0.9840666363389792,0.8396231871312138,0.6440882937835508,-0.2753745755057416,2.101271316549308,0.7884640318058305,0.34811390251751334,0.5248981324372874
hd,0.4794690894189994,0.3046375641722233,-1.4721631971605533,-1.0776516492898762,0.7619320714922228,1.274666460777538,-1.1178073609919212,1.0847637039142979,0.9619522932287863,1.5065107901998513,0.7682121079067299,0.8241691251322959,-0.4676131976202862,0.14408777184482796,1.1178883267660373,-2.080690927742996,1.9932511504829469,0.930049056980261,-2.1719335392067856,0.38947835050658114,0.30498793397029395
tm,1.2405634891319717,0.47036154902674554,-0.04994012509797694,1.3889086059822846,-0.10943908821338413,-1.0059252096817164,-0.5744647071367509,-0.5120800945755437,-0.330974152971751,0.446241373794486,0.23143554890189397,0.07949876800450603,-0.9861591114389324,-2.5669452471348095,0.3011510940770586,-1.0605383234225134,-0.7250630615627011,-0.9496904848860604,0.08351290690047697,2.0513976419501208,0.37369342732705746
